"Manufacturer","Model","PR","Top Speed","Acceleration","Braking","Grip","Class","Type","Series","Price","Service Time","Service Cost","Is Available","Has Exclusive Events","In Motorsports","In Road Collection","In Main Career","In Season 1","In Season 2","In Season 3","In Season 4","In Season 5"
"Pagani","Huayra BC","80.8","370","2.30","29.0","1.66","S","RR","4","900 Gold","180","1997","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No"
"Bugatti","Chiron Sport","80.6","420","2.40","29.9","1.60","S","M4","4","950 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Koenigsegg","Regera","80.6","410","2.70","27.4","1.62","S","MR","4","1000 Gold","180","2062","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Hennessey","Venom GT","80.5","435","2.70","25.9","1.68","S","MR","3","950 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","No","No","No"
"Automobili Pininfarina","Battista Edizione Nino Farina","80.2","349","1.79","28.9","1.52","S","M4","2","1000 Gold","180","2062","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Ferrari","SF90 XX Stradale","79.8","346","1.90","27.4","1.50","S","M4","2","900 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"McLaren","Senna GTR","79.5","362","2.80","25.9","1.70","S","MR","2","1000 Gold","180","2037","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No"
"Porsche","911 Turbo S","79.2","330","2.60","26.8","1.40","S","R4","4","725 Gold","180","1977","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No"
"Koenigsegg","Agera R","78.3","439","2.90","29.6","1.60","S","MR","6","800 Gold","300","2062","Yes","No","No","Yes","Yes","Yes","No","No","No","No"
"Bugatti","Centodieci","78.2","380","2.32","30.8","1.60","S","M4","2","900 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes"
"McLaren","Speedtail (2020)","78.2","402","2.30","29.9","1.20","S","MR","2","900 Gold","265","1997","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Bugatti","Divo","77.9","380","2.32","31.1","1.60","S","M4","4","850 Gold","180","1997","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No"
"Bugatti","Chiron","77.2","420","2.40","31.4","1.50","S","M4","2","750 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Aston Martin","Vulcan AMR Pro","75.2","346","2.70","26.8","1.60","S","FR","3","825 Gold","120","1997","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes"
"Ferrari","SF90 Stradale","74.0","340","2.00","27.4","1.37","S","M4","2","800 Gold","180","1997","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Pagani","Zonda R","74.0","351","2.70","29.3","1.62","S","MR","7","400 Gold","280","1965","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No"
"Porsche","911 GT2 RS","73.1","386","2.70","29.3","1.50","S","RR","3","800 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Koenigsegg","Agera","72.6","433","3.00","30.5","1.50","S","MR","2","2210500 R$","280","1952","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Bugatti","Veyron 16.4 Grand Sport Vitesse","71.8","410","2.60","30.5","1.40","S","M4","4","750 Gold","285","1997","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Bentley","Continental GT Speed (2021)","70.9","335","3.50","28.6","1.80","S","F4","3","750 Gold","180","1942","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Aston Martin","Vulcan","70.8","346","2.90","26.8","1.53","S","FR","4","800 Gold","120","1665","Yes","Yes","No","Yes","No","No","No","No","No","No"
"Porsche","918 Spyder Weissach Package","70.4","344","2.50","28.7","1.45","S","MR","6","700 Gold","225","1647","Yes","No","No","Yes","No","No","No","No","Yes","No"
"Lamborghini","Veneno","70.3","354","2.80","29.9","1.42","S","M4","5","900 Gold","315","2157","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No"
"Bugatti","Veyron 16.4","69.5","407","2.70","31.4","1.40","S","M4","3","1650000 R$","260","1845","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Sesto Elemento","68.9","338","2.50","27.4","1.38","S","M4","5","850 Gold","150","1997","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No"
"McLaren","P1","67.8","351","2.80","29.0","1.45","S","MR","5","1300000 R$","245","1760","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Countach LPI 800-4","67.6","356","2.70","27.4","1.36","S","M4","3","750 Gold","180","1915","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No"
"Pagani","Utopia","67.6","377","3.10","29.3","1.65","S","MR","2","850 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes"
"Lamborghini","Sian FKP 37","67.5","354","2.70","29.0","1.40","S","M4","4","750 Gold","180","1915","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"Koenigsegg","CCXR","66.9","402","3.10","32.0","1.45","S","MR","3","1999800 R$","275","1915","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Jaguar","C-X75","66.8","354","2.90","29.6","1.46","S","M4","3","600 Gold","270","1897","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Renault","R.S. 01","66.8","325","3.00","27.1","1.50","S","MR","3","2100000 R$","275","1932","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Centenario LP770-4","66.3","349","2.70","29.9","1.40","S","M4","3","850 Gold","180","1997","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"McLaren","Senna","66.2","335","2.90","28.0","1.45","S","MR","3","850 Gold","180","1997","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"Ferrari","Daytona SP3","66.1","340","2.60","26.5","1.30","S","MR","2","850 Gold","180","2037","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Ferrari","LaFerrari","66.0","349","2.90","27.7","1.40","S","MR","7","790 Gold","295","2037","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No"
"Pagani","Huayra","65.4","357","3.30","29.9","1.60","S","MR","4","1358000 R$","245","1775","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Huracan STO","65.1","311","2.90","29.0","1.50","S","MR","3","700 Gold","180","1877","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Lamborghini","Huracan Performante","64.4","325","2.90","27.7","1.41","S","M4","3","560 Gold","180","1835","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Lamborghini","Asterion LP910-4","63.4","320","3.00","28.3","1.44","S","M4","5","650 Gold","225","1647","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Ferrari","296 GTB","63.0","330","2.70","28.0","1.30","S","MR","2","850 Gold","285","1990","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Lamborghini","Aventador SVJ","62.9","349","2.50","28.7","1.20","S","M4","5","750 Gold","180","1812","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Audi","R8 (2021)","61.8","330","3.00","29.6","1.40","P","M4","2","750 Gold","180","1812","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"McLaren","720S Coupe","61.5","341","2.80","29.6","1.30","S","MR","5","650 Gold","180","1877","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"McLaren","765LT","61.5","330","2.70","28.5","1.40","S","MR","5","650 Gold","180","1877","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes"
"Ariel","Atom V8","61.1","322","2.30","30.5","1.20","S","RR","3","150 Gold","180","1402","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Mazda","Furai","60.6","290","3.15","26.5","1.43","S","MR","2","700 Gold","180","1915","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Mercedes-AMG","GT Black Series","60.5","325","2.90","28.0","1.30","S","FR","2","750 Gold","120","1812","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No"
"Porsche","918 Spyder Concept","60.2","322","3.00","30.2","1.40","S","M4","8","845000 R$","215","1605","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
"Chevrolet","Corvette C8 Z06","60.0","315","2.60","28.3","1.22","S","MR","3","600 Gold","180","1772","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"McLaren","Artura","59.4","330","2.60","31.6","1.25","S","MR","3","650 Gold","180","1877","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes"
"Ford","GT (2017)","57.5","348","3.20","29.3","1.28","S","MR","3","500 Gold","180","1665","Yes","Yes","No","Yes","No","No","No","No","No","No"
"Spada","Codatronca Barchetta","57.5","335","2.78","29.3","1.18","S","FR","1","270 Gold","205","1550","Yes","No","No","Yes","No","No","No","No","No","No"
"Spada","Codatronca TS","56.3","340","2.95","28.7","1.17","S","FR","1","690000 R$","205","1530","Yes","No","No","Yes","No","No","No","No","No","No"
"Pagani","Zonda F","55.8","346","3.60","30.2","1.40","S","MR","3","1280000 R$","245","1755","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ferrari","F8 Tributo","55.6","340","2.80","28.7","1.10","S","MR","5","750 Gold","180","1915","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No"
"Porsche","911 GT3 RS (2018)","55.4","312","3.10","28.0","1.24","S","RR","3","600 Gold","180","1812","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Porsche","Taycan Turbo GT","55.1","304","2.30","32.0","1.10","S","M4","1","600 Gold","180","1877","Yes","No","No","Yes","No","No","No","No","Yes","No"
"Ferrari","812 Superfast","55.0","356","2.90","30.5","1.12","S","FR","3","600 Gold","180","1800","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"McLaren","600LT","54.8","332","2.90","29.6","1.15","S","MR","1","600 Gold","180","1870","Yes","No","No","Yes","No","No","No","No","No","Yes"
"KTM","X-Bow GT-XR","54.5","280","3.40","28.0","1.10","S","MR","1","500 Gold","240","1730","Yes","No","No","Yes","No","No","No","Yes","No","No"
"McLaren","675LT","54.3","330","2.80","29.0","1.09","S","MR","3","575 Gold","265","1867","Yes","No","No","Yes","No","No","No","No","No","No"
"Aston Martin","One-77","53.9","354","3.50","29.3","1.25","S","FR","3","600 Gold","180","1480","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Aston Martin","Valour","53.9","333","3.20","27.1","1.15","S","FR","2","600 Gold","180","1867","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Ferrari","F12TDF","53.0","340","2.90","30.5","1.10","S","FR","2","720 Gold","225","1665","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Jaguar","XE SV Project 8","52.8","322","3.30","28.0","1.20","P","F4","2","500 Gold","180","1730","Yes","No","No","Yes","No","No","Yes","No","No","No"
"McLaren","F1","52.7","377","3.20","33.8","1.20","S","MR(MHD)","4","1250000 R$","240","1745","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Aston Martin","Vantage GT3","51.8","317","3.30","29.6","1.23","P","FR","3","571500 R$","190","1462","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Lotus","Emira","51.3","283","4.40","31.7","1.70","P","MR","2","600 Gold","180","1812","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Lamborghini","Aventador LP700-4","50.9","349","2.90","30.5","1.06","S","M4","6","597700 R$","195","1480","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Huracan LP610-4","50.7","325","3.20","30.8","1.17","S","M4","6","450 Gold","90","1377","Yes","No","No","Yes","No","No","Yes","No","No","No"
"McLaren","12C Spider","50.7","328","3.10","30.8","1.13","S","MR","3","300 Gold","90","1535","Yes","No","No","Yes","No","No","Yes","Yes","No","No"
"BMW","3.0 CSL Hommage R","50.5","306","3.50","29.0","1.26","S","FR","1","550 Gold","150","1812","Yes","No","No","Yes","No","No","No","No","No","No"
"Chevrolet","Camaro ZL1 1LE","50.4","311","3.40","27.7","1.18","S","FR","2","550 Gold","180","1760","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Ferrari","Monza SP1","50.4","299","2.90","32.0","1.16","S","FR","2","750 Gold","260","1835","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Chevrolet","Corvette C7 ZR1","49.4","346","3.20","34.7","1.18","S","FR","3","550 Gold","180","1760","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Porsche","911 GT3 (2021)","49.3","319","3.40","28.6","1.15","P","RR","2","525 Gold","180","1787","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes"
"Caterham","Seven 620 R","49.1","249","2.70","32.0","1.18","S","FR(RHD)","3","378500 R$","165","1312","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Acura","NSX Type S","48.9","307","2.90","32.0","1.10","S","M4","1","600 Gold","180","1812","Yes","No","No","Yes","No","No","No","Yes","No","No"
"Ferrari","J50","48.9","327","2.90","31.7","1.04","S","RR","3","450 Gold","180","1585","Yes","No","No","Yes","No","No","Yes","Yes","No","No"
"Ferrari","F12Berlinetta","48.8","340","3.10","31.1","1.05","S","RR","4","320 Gold","215","1822","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Audi","R8 V10 Spyder","48.7","317","3.50","29.9","1.20","S","M4","5","250 Gold","170","1347","Yes","No","No","Yes","Yes","No","No","No","No","No"
"BMW","M5","48.6","304","3.00","29.6","1.06","P","F4","3","375 Gold","180","1560","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Mercedes-Benz","SLR McLaren 722","48.6","338","3.50","29.3","1.13","S","FR","2","450 Gold","180","1585","Yes","Yes","No","Yes","No","No","No","No","No","No"
"McLaren","MP4-12C","48.3","330","2.90","30.5","1.06","S","MR","6","65 Gold","140","1192","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Nissan","GT-R Nismo (R35)","48.2","315","2.90","31.1","1.08","S","F4","1","520 Gold","180","1605","Yes","No","No","Yes","No","No","No","No","No","No"
"Ferrari","599 GTO","47.4","335","3.20","31.4","1.06","S","FR","2","300 Gold","215","1592","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ford","Shelby GT500 (2020)","46.9","290","3.40","28.6","1.15","S","FR","4","450 Gold","180","1585","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Acura","NSX (2017)","46.7","306","3.10","31.7","1.09","S","M4","2","450 Gold","180","1665","Yes","No","No","Yes","No","Yes","Yes","No","No","No"
"Lexus","LFA","46.7","325","3.60","28.7","1.05","S","FR","4","130 Gold","170","1335","Yes","No","Yes","Yes","No","No","No","No","No","No"
"McLaren","570GT","46.7","328","3.30","31.1","1.08","S","MR","2","400 Gold","210","1560","Yes","No","No","Yes","No","No","No","No","No","No"
"KTM","X-Bow R","46.6","232","3.80","32.0","1.50","S","RR","3","115 Gold","150","1247","Yes","No","No","Yes","Yes","No","No","No","No","No"
"BMW","M3 GTR Street","46.5","249","3.60","28.6","1.30","P","FR","2","520 Gold","215","1605","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes"
"Nissan","GT-R Premium (R35)","46.2","311","2.80","30.8","1.05","S","F4","5","170000 R$","110","1025","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Chevrolet","Corvette Stingray C8","45.8","296","2.80","33.2","1.03","S","MR","3","450 Gold","180","1665","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Aston Martin","V12 Speedster","45.3","319","3.40","31.4","1.10","P","FR","3","700 Gold","180","1760","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Jaguar","F-Type SVR","45.3","322","3.50","30.5","1.10","P","F4","4","400 Gold","225","1665","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Ferrari","Enzo Ferrari","45.2","354","3.50","31.7","1.05","S","MR","5","1550000 R$","255","1822","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No"
"Audi","S1 E-Tron Quattro","45.1","200","2.40","36.9","1.25","P","F4","2","750 Gold","180","1877","Yes","Yes","No","Yes","No","No","No","No","No","Yes"
"Audi","R8 V10 Coupe","44.6","315","3.90","29.9","1.20","S","M4","3","187300 R$","120","1060","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ariel","Atom 3.5","44.5","249","2.70","30.5","1.00","S","RR","2","255000 R$","140","1170","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Porsche","Carrera GT","44.4","330","3.80","30.8","0.99","S","MR","4","449900 R$","175","1375","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Aston Martin","V12 Vantage S","43.8","330","3.70","30.5","1.10","P","FR","3","425000 R$","170","1355","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Chevrolet","Corvette ZR1","43.8","330","3.40","31.4","1.05","S","FR","3","50 Gold","100","947","Yes","No","No","Yes","No","No","No","No","No","No"
"Porsche","911 Turbo (2009)","43.8","311","3.40","30.5","1.05","S","R4","5","148000 R$","100","975","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Ford","Shelby GT350R","43.6","314","3.45","32.3","1.10","S","FR","5","350 Gold","105","1192","Yes","No","No","Yes","No","No","No","No","No","No"
"Lamborghini","Reventon","43.4","340","3.29","33.5","1.01","S","M4","2","750 Gold","180","1877","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Ferrari","458 Italia","43.0","325","3.40","32.0","1.03","S","RR","5","720000 R$","205","1545","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
"Audi","E-Tron GT Concept","42.9","249","3.20","30.5","1.10","S","M4","2","600 Gold","180","1665","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Porsche","Taycan Turbo S","42.9","259","2.80","33.5","1.04","S","M4","3","600 Gold","180","1665","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"SRT","Viper GTS","42.4","332","3.50","32.3","1.06","S","FR","3","176000 R$","115","1037","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Mercedes-Benz","AMG CLK GTR Strassenversion","42.3","344","3.67","35.4","1.14","S","MR","2","650 Gold","180","1665","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Porsche","911 GT1 Strassenversion","42.3","312","3.77","33.5","1.20","S","MR","2","650 Gold","180","1665","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes"
"Aston Martin","V12 Vantage (2022)","42.0","322","3.50","33.5","1.08","S","FR","2","600 Gold","180","1700","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Ferrari","458 Spider","42.0","320","3.40","32.0","1.01","S","MR","3","610000 R$","195","1487","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
"Cadillac","CT5-V Blackwing","41.7","330","3.60","34.1","1.10","P","FR","4","525 Gold","180","1700","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"Maserati","Granturismo MC Stradale (Limited)","41.5","319","3.80","30.2","1.08","S","MR","2","360 Gold","185","1425","Yes","No","No","Yes","No","No","No","No","No","No"
"Porsche","Boxster GTS","40.6","278","4.40","31.1","1.18","P","MR","2","300 Gold","180","1415","Yes","No","No","Yes","No","No","Yes","No","No","No"
"Aston Martin","Vantage 59","40.5","314","4.00","30.5","1.07","P","FR","4","400 Gold","180","1415","Yes","No","No","Yes","No","Yes","No","No","Yes","No"
"Porsche","911 GT3 RS 4.0","40.3","311","3.80","29.9","1.08","S","RR","2","185950 R$","115","1057","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Aston Martin","Vantage N430","40.2","314","4.10","30.2","1.15","P","FR","2","240 Gold","180","1415","Yes","No","No","Yes","No","No","No","No","No","No"
"Audi","TT RS Coupe (2019)","40.0","280","3.40","30.5","1.01","P","F4","2","340 Gold","180","1332","Yes","Yes","No","Yes","No","No","No","No","No","No"
"Jaguar","XJ220","39.8","349","3.60","36.3","1.05","S","MR","4","400 Gold","180","1415","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Porsche","959 Sport","39.2","319","3.60","34.4","1.06","P","RR","2","320 Gold","165","1332","Yes","No","No","Yes","No","No","No","No","No","No"
"Porsche","911 Carrera S","38.7","307","4.00","29.9","1.08","P","RR","3","320 Gold","165","1332","Yes","No","No","Yes","No","No","No","No","No","No"
"Ford","GT (2005)","38.4","330","3.60","33.2","0.92","S","MR","3","149500 R$","105","977","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ferrari","F50","38.3","312","3.70","37.2","1.15","S","MR","2","160 Gold","180","1415","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ferrari","FF","38.3","335","3.70","33.5","1.00","S","R4","2","585000 R$","190","1470","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Mercedes-Benz","SL 65 AMG Black Series","38.3","319","3.80","32.0","1.00","S","FR","5","316000 R$","150","1247","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
"Bentley","Continental Supersports","37.4","328","3.70","31.7","0.94","S","F4","2","267000 R$","140","1187","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Ferrari","F40","37.3","323","3.80","36.3","1.10","S","MR","3","375000 R$","165","1310","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Mercedes-Benz","SLS AMG","37.1","317","3.80","30.5","0.98","S","FR","2","260000 R$","140","1177","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Lamborghini","Gallardo LP560-4","36.8","325","3.70","32.6","1.01","S","M4","5","168900 R$","110","1022","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"Dodge","Viper SRT10 Coupe","36.7","325","3.80","31.7","1.06","S","FR","4","108820 R$","80","862","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Audi","RS 5 Coupe","33.3","280","3.77","32.6","0.98","P","M4","2","400 Gold","180","1377","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No"
"BMW","M4","33.0","249","4.06","31.1","1.10","P","FR","3","375 Gold","180","1510","Yes","No","No","Yes","No","Yes","Yes","No","No","No"
"Audi","RS 3","31.4","249","3.67","32.0","0.95","P","F4","1","350 Gold","180","1480","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Mercedes-AMG","A 45","30.5","249","4.20","32.3","1.10","P","F4","2","200 Gold","120","1082","Yes","No","No","Yes","No","Yes","No","No","No","No"
"BMW","M6 Coupe","30.4","306","4.20","32.0","0.98","P","FR","4","127700 R$","95","920","Yes","No","No","Yes","Yes","Yes","No","No","No","No"
"BMW","Z4 M40i","30.3","249","5.10","32.7","1.00","P","FR","1","200 Gold","165","1332","Yes","No","No","Yes","No","No","No","Yes","No","No"
"BMW","M3 GTS","28.9","306","4.40","32.0","0.90","P","FR","4","118700 R$","90","895","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"BMW","M2 Competition","28.2","280","4.25","34.1","1.02","P","FR","3","300 Gold","180","1415","Yes","No","No","Yes","No","Yes","No","No","No","No"
"BMW","M3 Coupe","21.4","249","4.60","33.5","0.95","P","FR","4","84600 R$","65","772","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
"BMW","M1","19.9","261","5.60","30.5","1.15","S","RR","2","200 Gold","165","1332","Yes","Yes","No","Yes","No","No","No","No","No","No"
"BMW","Z4 SDrive35is","19.3","249","4.80","32.3","0.96","P","FR","3","89700 R$","70","792","Yes","No","No","Yes","Yes","No","No","No","No","No"
"Audi","TT RS Coupe (2012)","18.8","249","4.10","36.9","0.89","P","F4","4","56850 R$","40","627","Yes","No","No","Yes","Yes","No","No","No","No","No"
"BMW","1 Series M Coupe","18.2","249","4.90","32.0","0.98","P","FR","3","59800 R$","45","647","Yes","No","No","Yes","Yes","No","No","No","No","No"
"BMW","Z4 M Coupe","12.4","249","5.00","36.6","0.90","P","FR","4","62900 R$","45","665","Yes","No","No","Yes","Yes","No","No","No","No","No"
"BMW","M3 (E30)","3.6","241","6.50","39.6","0.91","P","FR","2","250 Gold","165","1332","Yes","Yes","No","Yes","No","Yes","No","No","No","No"
"Mercedes-Benz","190E 2.5-16 Evolution II","3.5","249","6.90","41.5","1.09","P","FR","4","80 Gold","105","980","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No"
